Source,Target,Type,Id,Label,timeset,Weight
14194,11508,Undirected,328605,,,1
14081,11508,Undirected,396365,,,2
13893,11508,Undirected,301270,,,12
13790,11508,Undirected,401655,,,1
13761,11508,Undirected,369684,,,3
13735,11508,Undirected,367944,,,2
13521,11508,Undirected,395923,,,2
13518,11508,Undirected,309625,,,1
13208,11508,Undirected,369600,,,3
13098,11508,Undirected,344222,,,1
12919,11508,Undirected,333830,,,1
12831,11508,Undirected,291221,,,3
12634,11508,Undirected,323999,,,2
12588,11508,Undirected,371038,,,1
12435,11508,Undirected,255104,,,6
12404,11508,Undirected,322199,,,1
12363,11508,Undirected,401468,,,4
12330,11508,Undirected,295531,,,12
12329,11508,Undirected,301551,,,1
12244,11508,Undirected,323525,,,1
12243,11508,Undirected,371062,,,3
12242,11508,Undirected,371067,,,2
12238,11508,Undirected,301222,,,1
12204,11508,Undirected,396370,,,1
12181,11508,Undirected,233480,,,1
12177,11508,Undirected,234146,,,2
12146,11508,Undirected,233051,,,4
12145,11508,Undirected,315944,,,1
12132,11508,Undirected,371074,,,1
12116,11508,Undirected,365045,,,3
12095,11508,Undirected,369586,,,2
12093,11508,Undirected,301332,,,2
12092,11508,Undirected,323908,,,1
11979,11508,Undirected,234041,,,3
11948,11508,Undirected,372966,,,2
11917,11508,Undirected,357508,,,1
11916,11508,Undirected,339046,,,3
11911,11508,Undirected,316000,,,2
11904,11508,Undirected,401692,,,1
11873,11508,Undirected,295527,,,1
11847,11508,Undirected,315921,,,1
11838,11508,Undirected,301335,,,3
11811,11508,Undirected,264995,,,3
11771,11508,Undirected,279514,,,2
11699,11508,Undirected,317342,,,1
11655,11508,Undirected,339026,,,1
11615,11508,Undirected,229657,,,1
11614,11508,Undirected,229579,,,1
11602,11508,Undirected,229728,,,2
11601,11508,Undirected,229720,,,2
11598,11508,Undirected,229703,,,15
11597,11508,Undirected,229342,,,3
11511,11508,Undirected,228830,,,3
11510,11508,Undirected,279521,,,7
11510,18290,Undirected,376697,,,1
11510,17410,Undirected,306405,,,4
11510,16719,Undirected,320982,,,4
11510,16380,Undirected,376694,,,1
11510,15013,Undirected,312115,,,1
11510,14913,Undirected,364336,,,1
11510,14872,Undirected,376698,,,1
11510,13899,Undirected,291266,,,1
11510,13815,Undirected,250451,,,2
11510,13807,Undirected,345614,,,1
11510,13795,Undirected,312113,,,1
11510,13789,Undirected,338886,,,2
11510,13619,Undirected,291267,,,2
11510,13600,Undirected,252778,,,2
11510,13403,Undirected,372974,,,1
11510,13274,Undirected,316258,,,2
11510,13211,Undirected,347395,,,1
11510,13175,Undirected,376689,,,1
11510,13021,Undirected,302740,,,1
11510,12941,Undirected,295762,,,1
11510,12938,Undirected,376691,,,1
11510,12891,Undirected,319355,,,1
11510,12810,Undirected,291263,,,3
11510,12777,Undirected,333542,,,1
11510,12770,Undirected,347480,,,1
11510,12748,Undirected,376696,,,1
11510,12747,Undirected,279986,,,1
11510,12745,Undirected,376692,,,1
11510,12744,Undirected,380909,,,1
11510,12743,Undirected,376688,,,1
11510,12728,Undirected,324486,,,1
11510,12711,Undirected,295760,,,1
11510,12676,Undirected,372491,,,1
11510,12636,Undirected,319346,,,3
11510,12435,Undirected,279542,,,2
11510,12384,Undirected,376693,,,1
11510,12363,Undirected,250301,,,6
11510,12330,Undirected,380906,,,3
11510,12247,Undirected,365259,,,1
11510,12242,Undirected,302742,,,3
11510,12218,Undirected,302738,,,2
11510,12145,Undirected,347400,,,1
11510,12136,Undirected,380908,,,2
11510,12135,Undirected,295758,,,2
11510,12133,Undirected,295763,,,2
11510,12132,Undirected,402195,,,1
11510,12112,Undirected,324487,,,5
11510,12096,Undirected,250300,,,7
11510,12095,Undirected,250449,,,7
11510,11976,Undirected,372494,,,1
11510,11948,Undirected,372975,,,1
11510,11939,Undirected,376690,,,1
11510,11937,Undirected,376695,,,1
11510,11925,Undirected,347398,,,2
11510,11917,Undirected,312912,,,1
11510,11916,Undirected,250298,,,7
11510,11885,Undirected,279545,,,2
11510,11873,Undirected,295759,,,2
11510,11872,Undirected,291262,,,2
11510,11853,Undirected,244144,,,3
11510,11850,Undirected,250450,,,5
11510,11830,Undirected,279467,,,1
11510,11784,Undirected,398419,,,1
11510,11772,Undirected,252784,,,2
11510,11769,Undirected,264808,,,3
11510,11674,Undirected,279520,,,4
11510,11655,Undirected,250447,,,6
11510,11651,Undirected,252779,,,4
11510,11619,Undirected,319353,,,1
11510,11598,Undirected,401531,,,1
11510,11564,Undirected,358516,,,1
11510,11559,Undirected,360049,,,1
11510,11532,Undirected,229113,,,1
17411,11510,Undirected,306726,,,1
16774,11510,Undirected,319328,,,1
15686,11510,Undirected,306481,,,1
15088,11510,Undirected,306645,,,1
14917,11510,Undirected,306560,,,1
14785,11510,Undirected,358512,,,2
14623,11510,Undirected,285792,,,2
14486,11510,Undirected,399364,,,1
14269,11510,Undirected,306451,,,1
14126,11510,Undirected,265130,,,1
14030,11510,Undirected,279465,,,1
14018,11510,Undirected,356879,,,1
13282,11510,Undirected,265124,,,1
13218,11510,Undirected,347386,,,3
13208,11510,Undirected,250297,,,5
13206,11510,Undirected,312844,,,6
12991,11510,Undirected,279973,,,1
12954,11510,Undirected,271319,,,1
12825,11510,Undirected,358444,,,2
12807,11510,Undirected,306699,,,1
12806,11510,Undirected,306681,,,1
12805,11510,Undirected,306756,,,1
12678,11510,Undirected,245066,,,1
12375,11510,Undirected,367336,,,1
12358,11510,Undirected,345611,,,1
12290,11510,Undirected,271313,,,1
12238,11510,Undirected,382294,,,3
12146,11510,Undirected,401489,,,1
12116,11510,Undirected,342011,,,1
12111,11510,Undirected,324485,,,2
12093,11510,Undirected,232419,,,2
11924,11510,Undirected,250260,,,1
11918,11510,Undirected,312906,,,2
11904,11510,Undirected,265100,,,1
11851,11510,Undirected,250266,,,4
11838,11510,Undirected,383618,,,1
11771,11510,Undirected,279326,,,3
11755,11510,Undirected,394027,,,1
11754,11510,Undirected,394024,,,1
11752,11510,Undirected,394025,,,1
11751,11510,Undirected,394026,,,1
11750,11510,Undirected,394023,,,1
11748,11510,Undirected,373347,,,1
11701,11510,Undirected,306606,,,1
11699,11510,Undirected,312829,,,1
11560,11510,Undirected,360025,,,1
11555,11510,Undirected,265061,,,1
11546,11510,Undirected,229095,,,1
11530,11510,Undirected,229110,,,1
11529,11510,Undirected,265109,,,2
11520,11510,Undirected,279480,,,2
11511,11510,Undirected,228629,,,1
11511,18299,Undirected,328109,,,1
11511,18297,Undirected,328120,,,1
11511,16744,Undirected,294887,,,1
11511,15686,Undirected,328114,,,1
11511,15649,Undirected,378987,,,2
11511,15648,Undirected,378972,,,3
11511,15418,Undirected,294888,,,1
11511,14964,Undirected,378971,,,1
11511,14917,Undirected,328108,,,1
11511,14614,Undirected,378986,,,2
11511,14018,Undirected,345540,,,3
11511,13893,Undirected,379063,,,2
11511,13761,Undirected,345483,,,1
11511,13619,Undirected,328111,,,1
11511,13130,Undirected,313071,,,7
11511,12297,Undirected,370317,,,1
11511,12154,Undirected,328119,,,1
11511,12111,Undirected,328117,,,1
11511,12096,Undirected,276216,,,1
11511,11992,Undirected,361848,,,1
11511,11816,Undirected,370318,,,1
11511,11815,Undirected,370314,,,1
11511,11772,Undirected,231991,,,2
11511,11674,Undirected,379045,,,1
11511,11659,Undirected,361845,,,1
11511,11557,Undirected,294567,,,2
11511,11546,Undirected,231992,,,2
11511,11520,Undirected,228765,,,4
18298,11511,Undirected,327955,,,1
17411,11511,Undirected,328015,,,1
16800,11511,Undirected,345567,,,7
16745,11511,Undirected,294866,,,1
16303,11511,Undirected,361720,,,1
14269,11511,Undirected,327991,,,1
12806,11511,Undirected,327996,,,1
12535,11511,Undirected,379043,,,1
12405,11511,Undirected,294707,,,1
12322,11511,Undirected,370308,,,1
12299,11511,Undirected,370301,,,1
12233,11511,Undirected,376892,,,1
12179,11511,Undirected,365241,,,1
12004,11511,Undirected,361781,,,1
11996,11511,Undirected,294694,,,1
11979,11511,Undirected,294710,,,4
11976,11511,Undirected,294643,,,4
11971,11511,Undirected,379024,,,1
11911,11511,Undirected,327974,,,1
11811,11511,Undirected,328104,,,1
11523,11511,Undirected,228716,,,1
11521,11511,Undirected,228763,,,1
11520,14097,Undirected,316131,,,1
11520,13835,Undirected,254683,,,2
11520,13715,Undirected,396307,,,1
11520,13026,Undirected,242175,,,1
11520,12954,Undirected,316138,,,1
11520,12944,Undirected,242171,,,1
11520,12777,Undirected,242181,,,1
11520,12608,Undirected,238697,,,1
11520,12607,Undirected,238696,,,1
11520,12606,Undirected,238695,,,1
11520,12394,Undirected,336347,,,1
11520,12150,Undirected,396311,,,1
11520,11918,Undirected,242896,,,5
11520,11915,Undirected,316133,,,1
11520,11872,Undirected,396296,,,1
11520,11817,Undirected,396306,,,2
11520,11772,Undirected,245306,,,2
11520,11699,Undirected,312428,,,2
11520,11674,Undirected,316141,,,2
11520,11652,Undirected,247363,,,1
11520,11578,Undirected,316137,,,1
16332,11520,Undirected,396163,,,3
16303,11520,Undirected,361710,,,1
14486,11520,Undirected,340556,,,1
14018,11520,Undirected,357496,,,2
13291,11520,Undirected,315977,,,2
13130,11520,Undirected,361928,,,1
13098,11520,Undirected,374098,,,1
12964,11520,Undirected,336343,,,1
12963,11520,Undirected,336330,,,1
12610,11520,Undirected,238692,,,1
12609,11520,Undirected,238694,,,1
12233,11520,Undirected,234678,,,2
12145,11520,Undirected,315941,,,1
12099,11520,Undirected,242887,,,7
12092,11520,Undirected,333533,,,1
12004,11520,Undirected,361772,,,1
11996,11520,Undirected,242061,,,2
11995,11520,Undirected,330464,,,1
11992,11520,Undirected,361854,,,1
11963,11520,Undirected,334131,,,2
11917,11520,Undirected,242892,,,9
11911,11520,Undirected,242134,,,3
11847,11520,Undirected,315918,,,1
11659,11520,Undirected,361906,,,1
11532,11520,Undirected,374379,,,1
11523,11520,Undirected,228715,,,1
11521,11520,Undirected,228762,,,1
11521,14025,Undirected,364299,,,1
11521,12641,Undirected,376921,,,1
11521,12322,Undirected,356782,,,1
11521,12116,Undirected,288817,,,1
11521,11601,Undirected,364297,,,1
11521,11567,Undirected,376922,,,1
11521,11557,Undirected,356740,,,1
14913,11521,Undirected,364234,,,1
14804,11521,Undirected,365933,,,1
14425,11521,Undirected,366031,,,1
14030,11521,Undirected,364262,,,2
13364,11521,Undirected,356711,,,5
13132,11521,Undirected,366000,,,1
13131,11521,Undirected,365943,,,1
12644,11521,Undirected,365997,,,1
12149,11521,Undirected,288816,,,1
11979,11521,Undirected,288790,,,2
11830,11521,Undirected,364296,,,1
11569,11521,Undirected,376920,,,1
11523,11521,Undirected,228717,,,7
11523,17985,Undirected,365674,,,1
11523,16876,Undirected,297773,,,1
11523,16745,Undirected,365692,,,1
11523,15418,Undirected,365683,,,1
11523,14804,Undirected,365689,,,2
11523,14425,Undirected,365685,,,2
11523,14191,Undirected,255903,,,2
11523,13735,Undirected,387523,,,1
11523,12891,Undirected,272063,,,1
11523,12744,Undirected,272064,,,1
11523,12439,Undirected,378356,,,1
11523,12393,Undirected,400320,,,1
11523,12218,Undirected,281940,,,1
11523,12149,Undirected,288785,,,1
11523,12136,Undirected,272069,,,1
11523,12116,Undirected,288784,,,1
11523,12005,Undirected,351913,,,1
11523,12004,Undirected,294061,,,1
11523,12002,Undirected,297776,,,2
11523,11996,Undirected,400313,,,1
11523,11918,Undirected,400300,,,1
11523,11802,Undirected,304572,,,2
11523,11701,Undirected,349971,,,1
11523,11700,Undirected,400294,,,1
11523,11601,Undirected,288789,,,1
11523,11569,Undirected,376915,,,1
11523,11567,Undirected,297777,,,5
11523,11557,Undirected,288788,,,8
16744,11523,Undirected,365602,,,1
14913,11523,Undirected,364236,,,1
14424,11523,Undirected,255956,,,2
13364,11523,Undirected,304550,,,14
13132,11523,Undirected,366003,,,3
13131,11523,Undirected,351892,,,2
12644,11523,Undirected,282456,,,3
12641,11523,Undirected,282448,,,6
12589,11523,Undirected,272045,,,1
12322,11523,Undirected,356805,,,1
11992,11523,Undirected,304569,,,1
11979,11523,Undirected,255968,,,3
11916,11523,Undirected,284912,,,1
11529,17788,Undirected,371386,,,1
11529,15696,Undirected,371381,,,1
11529,15326,Undirected,361437,,,1
11529,14692,Undirected,371365,,,1
11529,14676,Undirected,371366,,,1
11529,14639,Undirected,371379,,,1
11529,14486,Undirected,399360,,,2
11529,14126,Undirected,265110,,,1
11529,14050,Undirected,371368,,,1
11529,13743,Undirected,371374,,,1
11529,13282,Undirected,265111,,,1
11529,13094,Undirected,341477,,,3
11529,13092,Undirected,341503,,,5
11529,13091,Undirected,341476,,,4
11529,13081,Undirected,371383,,,1
11529,13079,Undirected,371373,,,1
11529,12634,Undirected,361441,,,1
11529,12317,Undirected,371394,,,1
11529,12300,Undirected,371369,,,1
11529,12299,Undirected,371367,,,1
11529,12298,Undirected,371370,,,1
11529,12297,Undirected,371395,,,1
11529,12064,Undirected,232205,,,1
11529,12061,Undirected,232200,,,1
11529,12060,Undirected,232199,,,2
11529,11865,Undirected,232203,,,1
11529,11817,Undirected,371376,,,1
11529,11816,Undirected,371391,,,1
11529,11815,Undirected,371392,,,1
11529,11777,Undirected,232204,,,2
11529,11578,Undirected,341546,,,1
11529,11559,Undirected,265112,,,1
11529,11546,Undirected,228933,,,3
