Position,Track Name,Artist,Streams,date,region,spotify_id
76,Que Raro,Feid,208914,2016-12-23--2016-12-30,es,3kg9JvQe6QJFKUQCN1oIQz
77,Just Hold On,Steve Aoki,206110,2016-12-23--2016-12-30,es,3EmmCZoqpWOTY1g2GBwJoR
78,Shed a Light,Robin Schulz,205076,2016-12-23--2016-12-30,es,1cG0umU5TKStygKsPFZ9pY
79,Acércate (feat. Nicky Jam) - Remix,De La Ghetto,202458,2016-12-23--2016-12-30,es,35OC6rMxa8lJi8eDiUVShS
80,Otra copa (feat. Farruko),Justin Quiles,201247,2016-12-23--2016-12-30,es,5KX51uLJYo1S1MmITG7lHD
81,Faded,Alan Walker,196640,2016-12-23--2016-12-30,es,7gHs73wELdeycvS48JfIos
82,Hymn for the Weekend - Seeb Remix,Coldplay,190948,2016-12-23--2016-12-30,es,1OAiWI2oPmglaOiv9fdioU
83,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,188384,2016-12-23--2016-12-30,es,5q2JbCNi4FcnglgPfxcV65
84,Necesito Ayuda,Jacob Forever,185539,2016-12-23--2016-12-30,es,4LqXNGoJUI3oGA7LM0Aulu
85,Sirenas,Taburete,184668,2016-12-23--2016-12-30,es,4unOsvr9C2NqI9aJXrxpCy
86,Sin Contrato (feat. Don Omar & Wisin) - Remix,Maluma,183882,2016-12-23--2016-12-30,es,2xNZeeqmwMPVKnD7FSQfgt
87,Te Vas,Ozuna,183749,2016-12-23--2016-12-30,es,2twUPIYOTqVivev47pf7bU
88,Chillax (feat. Ky-Mani Marley),Farruko,182763,2016-12-23--2016-12-30,es,1lxswgIpzV6HhENRvkflES
89,Love Yourself,Justin Bieber,182292,2016-12-23--2016-12-30,es,3hB5DgAiMAQ4DzYbsMq1IT
90,Call On Me - Ryan Riback Extended Remix,Starley,180432,2016-12-23--2016-12-30,es,78rIJddV4X0HkNAInEcYde
91,Si me dices que sí (feat. Nicky Jam),Cosculluela,179589,2016-12-23--2016-12-30,es,3noN1TxpjbjjmKqssghvg8
92,Human,Rag'n'Bone Man,178309,2016-12-23--2016-12-30,es,58zsLZPvfflaiIbNWoA22O
93,All We Know,The Chainsmokers,177942,2016-12-23--2016-12-30,es,2rizacJSyD9S1IQUxUxnsK
94,Uno X Uno,Manuel Carrasco,177115,2016-12-23--2016-12-30,es,5UT0srpbH055rM8lyCNTJV
95,Starving,Hailee Steinfeld,176562,2016-12-23--2016-12-30,es,1qOLh0tI7trd1zdDKxYZTe
96,Mercy,Shawn Mendes,176353,2016-12-23--2016-12-30,es,4TZy1wLyHec06pwgFYDh1a
97,Cuánto Me Duele,Morat,175880,2016-12-23--2016-12-30,es,1PVjdldNeaJxETpW0jpJQo
98,Pierde Los Modales,J Balvin,175808,2016-12-23--2016-12-30,es,4r3itKA9HEJo48RG65OEnt
99,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,174736,2016-12-23--2016-12-30,es,7inXu0Eaeg02VsM8kHNvzM
100,Hello,KAROL G,174691,2016-12-23--2016-12-30,es,1PGENMzwUy16wlpZiuLS65
101,Lost on You,LP,173575,2016-12-23--2016-12-30,es,3SqvR3HYLlCTYzbDXJ52OC
102,Stressed Out,Twenty One Pilots,170967,2016-12-23--2016-12-30,es,3CRDbSIZ4r5MsZ0YwxuEkn
103,Tu Enemigo,Pablo López,170551,2016-12-23--2016-12-30,es,1G2gMKvtexF64ti7tJJBGy
104,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,170077,2016-12-23--2016-12-30,es,4vlbjBSMqycZk6t4HVRpnC
105,Si Ella Quisiera - Remix,Justin Quiles,168496,2016-12-23--2016-12-30,es,0A2h9QjoPdbVwa9LFiijqM
106,La Mala Y La Buena,Alex Sensation,168311,2016-12-23--2016-12-30,es,4lawFBY8FFw4dY4shoiCvC
107,Andas En Mi Cabeza - Remix,Chino & Nacho,164953,2016-12-23--2016-12-30,es,733ybNEEEXHYxfk8sK6MRO
108,It's Beginning to Look a Lot like Christmas,Michael Bublé,163982,2016-12-23--2016-12-30,es,0lLdorYw7lVrJydTINhWdI
109,De Pies A Cabeza,Maná,163789,2016-12-23--2016-12-30,es,2CkHE54EH44Qj945ynQRw7
110,This Is What You Came For (feat. Rihanna),Calvin Harris,162933,2016-12-23--2016-12-30,es,0azC730Exh71aQlOt9Zj3y
111,Sincericidio,Leiva,162683,2016-12-23--2016-12-30,es,3Q8avvsQE7mtTXT2TrDx3I
112,Picky,Joey Montana,160036,2016-12-23--2016-12-30,es,4tPL9PeVZY4c0jUPtSD5nx
113,Todas Las Promesas,Dasoul,159186,2016-12-23--2016-12-30,es,0rIU4p8z6OVvruWsHrpbwU
114,Yo Quiero Vivir,Manuel Carrasco,158387,2016-12-23--2016-12-30,es,5B4xLzV6cWqP8L8hjf43HK
115,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,157985,2016-12-23--2016-12-30,es,0L7loeTIg6akW84aEQZpCT
116,Complicidad (feat. Manuel Medrano),Vanesa Martín,157899,2016-12-23--2016-12-30,es,6lah9kMrDgQDcPLgmJfRdG
117,7 Years,Lukas Graham,154305,2016-12-23--2016-12-30,es,7129iqBafaphfc3WPCGC0L
118,Cake By The Ocean,DNCE,152810,2016-12-23--2016-12-30,es,2aFiaMXmWsM3Vj72F9ksBl
119,Playa y Arena (Remix),Mark B.,151863,2016-12-23--2016-12-30,es,4Q6Z7fn2xVhPZ1xn0XfEOY
120,No Money,Galantis,151368,2016-12-23--2016-12-30,es,0gb1J5UrTpzaU1s3nupgCd
121,No Creo en el Amor (feat. Sanco),Danny Romero,151164,2016-12-23--2016-12-30,es,4YZ0wT6Z9tklmm3LLCR3ur
122,Bailar (feat. Elvis Crespo) - Radio Edit,Deorro,150490,2016-12-23--2016-12-30,es,1HCw8XKtTgWWU3JlEUR0qQ
123,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,150010,2016-12-23--2016-12-30,es,0tICYNayWWhH9GPeFrfjfD
124,Jingle Bell Rock,Bobby Helms,148389,2016-12-23--2016-12-30,es,1cImYkHOQMFE7AZC9aOk4y
125,Sexual,NEIKED,147766,2016-12-23--2016-12-30,es,3AsAuGTaDQzavZZThyYlop
126,Work,Rihanna,145077,2016-12-23--2016-12-30,es,14WWzenpaEgQZlqPq2nk4v
127,Si ella quisiera,Justin Quiles,143341,2016-12-23--2016-12-30,es,7cIkMEpDhT7Vpw1FHOQqKC
128,Blue Christmas,Elvis Presley,142865,2016-12-23--2016-12-30,es,3QiAAp20rPC3dcAtKtMaqQ
129,Scars To Your Beautiful,Alessia Cara,142826,2016-12-23--2016-12-30,es,0prNGof3XqfTvNDxHonvdK
130,La Cómplice,Alexis y Fido,140358,2016-12-23--2016-12-30,es,5ommnX8qOlbjRspCEFkn57
131,It's the Most Wonderful Time of the Year,Andy Williams,139781,2016-12-23--2016-12-30,es,5hslUAKq9I9CG2bAulFkHN
132,Baila Toma,"Osmani Garcia ""La Voz""",139469,2016-12-23--2016-12-30,es,1VUm0rdXGDjAOApxFxGFJ4
133,Sorry,Justin Bieber,137851,2016-12-23--2016-12-30,es,69bp2EbF7Q2rqc5N3ylezZ
134,Bad Things (with Camila Cabello),Machine Gun Kelly,137658,2016-12-23--2016-12-30,es,1PSBzsahR2AKwLJgx8ehBj
135,Quédate - Remix,Andy Rivera,136151,2016-12-23--2016-12-30,es,5zke2XVsA1jZADDgXtIomh
136,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,136109,2016-12-23--2016-12-30,es,4tCtwWceOPWzenK2HAIJSb
137,Lush Life,Zara Larsson,135042,2016-12-23--2016-12-30,es,1rIKgCH4H52lrvDcz50hS8
138,Ya Quiero,Domino Saints,133580,2016-12-23--2016-12-30,es,3RfNSMA5VlAM66q6dNifMr
139,Million Reasons,Lady Gaga,132453,2016-12-23--2016-12-30,es,50PWlIBU7PlGGwzgN8TiFJ
140,Por Fin Te Encontré,Cali Y El Dandee,132278,2016-12-23--2016-12-30,es,3GpvoKKWZyTwgbLEM9RmWM
141,Shout Out to My Ex,Little Mix,131421,2016-12-23--2016-12-30,es,0YHUITU3w6ws1v8ehT264g
142,The Mack,Nevada,129314,2016-12-23--2016-12-30,es,7aV2mflaASUmGhCErm7kBO
143,Santa Tell Me,Ariana Grande,129159,2016-12-23--2016-12-30,es,1ADjWm8QNhgNV8yCNNgQ1T
144,Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana,Reik,129068,2016-12-23--2016-12-30,es,3H179O48ynsu9q8LOnFQZY
145,El Perdón,Nicky Jam,128901,2016-12-23--2016-12-30,es,7qCAVkHWZkF44OzOUKf8Cr
146,Catch & Release - Deepend Remix,Matt Simons,128131,2016-12-23--2016-12-30,es,2LZwKxTPZLBCYjUhlogMZl
147,Ginza,J Balvin,127205,2016-12-23--2016-12-30,es,5N8nNuTmIzkZOfcxXlygUw
148,Los Charcos,Dani Martín,127202,2016-12-23--2016-12-30,es,6XPOXobXwTz9Bh8p9u0QXW
149,Hymn for the Weekend,Coldplay,125210,2016-12-23--2016-12-30,es,3RiPr603aXAoi4GHyXx0uy
150,All Night,The Vamps,124949,2016-12-23--2016-12-30,es,4b4KcovePX8Ke2cLIQTLM0
151,Desafio (feat. Maluma),Jory Boy,124856,2016-12-23--2016-12-30,es,3pk19nKnFSl9E4X7gqq10A
152,Love Me Now,John Legend,124296,2016-12-23--2016-12-30,es,6nxQdXa1uAL0rY72wPZu89
153,Detras De Ti (Remix) [feat. Ozuna],Jory Boy,124262,2016-12-23--2016-12-30,es,74eN3ZNL7krJw1BIcjA5pc
154,Adventure of a Lifetime,Coldplay,124243,2016-12-23--2016-12-30,es,69uxyAqqPIsUyTO8txoP2M
155,Traidora (feat. Marc Anthony),Gente De Zona,123902,2016-12-23--2016-12-30,es,7Fl3wSxRqBljyQH8dJSz9c
156,Quiero Que Vuelvas,Alejandro Fernández,123740,2016-12-23--2016-12-30,es,2Zw7rSucHm0MIph9gmNiSn
157,Fast Car,Jonas Blue,123615,2016-12-23--2016-12-30,es,6OZh916QF8XNunWaP97WEZ
158,Blow Your Mind (Mwah),Dua Lipa,123490,2016-12-23--2016-12-30,es,2eAAEa8pxKF7My0EO4rFgR
159,Thinking out Loud,Ed Sheeran,122547,2016-12-23--2016-12-30,es,1Slwb6dOYkBlWal1PGtnNg
160,Te de Campana,DJ Tetraguy,121572,2016-12-23--2016-12-30,es,0StRt2W3IPe2MnpixQi6e5
161,Mayor Que Yo 3,Luny Tunes,121538,2016-12-23--2016-12-30,es,0bMRpUsk1IWi5O2NIkWsqR
162,Mama Said,Lukas Graham,121347,2016-12-23--2016-12-30,es,7675gjlUZzneYiMrQ9Inx8
163,Ya Estoy Mejor (feat. Andy Rivera) - Remix,Legarda,119527,2016-12-23--2016-12-30,es,2VCda72uH9Bz31jkNgj18Q
164,Me Quema,Paulina Rubio,119447,2016-12-23--2016-12-30,es,0VjbN2rfs40mHQ5mZN9UCE
165,Bailando - Spanish Version,Enrique Iglesias,118708,2016-12-23--2016-12-30,es,32lm3769IRfcnrQV11LO4E
166,Santa Claus Is Coming to Town,Michael Bublé,118309,2016-12-23--2016-12-30,es,5Ber68jZ7ytegr2UISEdb7
167,Come,Jain,116819,2016-12-23--2016-12-30,es,1YrC8s6yZWw23QxW6rfM9f
168,Sin Contrato (feat. Fifth Harmony),Maluma,116792,2016-12-23--2016-12-30,es,09S64DUkxIX9EwIaULu6yN
169,Ya No,Manuel Carrasco,116783,2016-12-23--2016-12-30,es,6WjGi2WtgBNOkalkUcDgEn
170,Complicidad,Vanesa Martín,116007,2016-12-23--2016-12-30,es,3FGcV5ESbQNLgi5uvBmSmP
171,Si no estás (feat. Dynell) - Remix,Xriz,115993,2016-12-23--2016-12-30,es,6OjXr0FvPyFLFJUYZ5YQL8
172,I Would Like,Zara Larsson,115716,2016-12-23--2016-12-30,es,4Q4jmPHwu0wrJvqrld0FQ6
173,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,115576,2016-12-23--2016-12-30,es,46NBoIAHrmR7qcUGCIFEjR
